GENESIS-Tabelle: 12411-0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortschreibung des Bevölkerungsstandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bevölkerungsstand (Anzahl),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Baden-Württemberg,Baden-Württemberg,Baden-Württemberg,Bayern,Bayern,Bayern,Berlin,Berlin,Berlin,Brandenburg,Brandenburg,Brandenburg,Bremen,Bremen,Bremen,Hamburg,Hamburg,Hamburg,Hessen,Hessen,Hessen,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen,Niedersachsen,Nordrhein-Westfalen,Nordrhein-Westfalen,Nordrhein-Westfalen,Rheinland-Pfalz,Rheinland-Pfalz,Rheinland-Pfalz,Saarland,Saarland,Saarland,Sachsen,Sachsen,Sachsen,Sachsen-Anhalt,Sachsen-Anhalt,Sachsen-Anhalt,Schleswig-Holstein,Schleswig-Holstein,Schleswig-Holstein,Thüringen,Thüringen,Thüringen
,,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt
2016-12-31,59-Jährige,73897,74058,147955,87717,88492,176209,20559,20864,41423,20374,19988,40362,4329,4587,8916,9988,10375,20363,41955,42470,84425,13421,13358,26779,55069,56038,111107,124762,126871,251633,30430,30446,60876,8078,8034,16112,28279,29098,57377,17361,17941,35302,19160,20396,39556,16933,17131,34064
2016-12-31,60-Jährige,71100,72713,143813,84223,84784,169007,19915,20588,40503,20128,19969,40097,4078,4323,8401,9415,9973,19388,40079,41016,81095,13281,13562,26843,52824,53706,106530,119403,122698,242101,28948,29368,58316,7680,7813,15493,28669,29607,58276,17307,18420,35727,18213,19086,37299,17211,17553,34764
2016-12-31,61-Jährige,66870,69043,135913,78474,81020,159494,19420,20536,39956,20128,20053,40181,3920,4250,8170,9003,9378,18381,37980,39510,77490,13339,13720,27059,50594,51758,102352,113049,118891,231940,27751,28488,56239,7231,7453,14684,29392,30820,60212,18078,18468,36546,17622,18633,36255,17160,17740,34900
2016-12-31,62-Jährige,63624,67631,131255,75621,79656,155277,18848,20527,39375,19407,20034,39441,3779,4161,7940,8562,9248,17810,36827,38817,75644,13297,13602,26899,48804,51298,100102,109497,116946,226443,27095,27971,55066,7254,7579,14833,28698,30747,59445,17630,18109,35739,17340,18673,36013,16754,17481,34235
2016-12-31,63-Jährige,60262,65162,125424,71889,76753,148642,18227,20175,38402,19042,19716,38758,3593,3988,7581,7974,8895,16869,34577,37321,71898,12908,13482,26390,46856,49594,96450,102984,111694,214678,26117,27310,53427,7066,7403,14469,28806,30997,59803,17255,18506,35761,16798,17687,34485,16751,17359,34110
2016-12-31,64-Jährige,59984,64858,124842,71510,77306,148816,17508,20136,37644,18426,19296,37722,3538,4015,7553,8093,8978,17071,34702,37631,72333,12438,13182,25620,47289,49839,97128,100940,110388,211328,25984,26905,52889,6962,7166,14128,29341,31391,60732,17130,18262,35392,16513,17727,34240,16472,17281,33753
2016-12-31,65-Jährige,57964,62651,120615,68896,74653,143549,17669,20392,38061,18011,18560,36571,3591,3998,7589,7799,8874,16673,33752,36855,70607,12029,12677,24706,46529,48933,95462,97069,106560,203629,25341,26265,51606,6626,6988,13614,29463,32404,61867,16091,17629,33720,16680,17697,34377,16349,17122,33471
2016-12-31,66-Jährige,57463,63282,120745,69417,74989,144406,18055,21417,39472,16629,17604,34233,3557,3984,7541,7963,9153,17116,34571,37551,72122,11234,11704,22938,46695,48799,95494,96378,105883,202261,25537,26480,52017,6749,7004,13753,28237,31021,59258,15803,17215,33018,16614,17983,34597,15168,16498,31666
2016-12-31,67-Jährige,56589,61499,118088,67377,73129,140506,16998,19764,36762,14037,14984,29021,3588,3991,7579,7942,9102,17044,34292,37190,71482,9545,10179,19724,45932,48089,94021,95998,104926,200924,24420,25609,50029,6907,7124,14031,24502,27183,51685,13733,15517,29250,16631,17716,34347,13539,14515,28054
2016-12-31,68-Jährige,52413,55988,108401,64123,69272,133395,15623,17867,33490,12076,12805,24881,3346,3700,7046,7783,8721,16504,32200,34631,66831,8189,8728,16917,42348,44227,86575,87025,95936,182961,21010,22084,43094,5822,6161,11983,19429,21844,41273,11564,13081,24645,16042,17409,33451,11515,12599,24114
2016-12-31,69-Jährige,48003,52248,100251,62433,67337,129770,14434,16847,31281,11270,12388,23658,3107,3618,6725,7535,8290,15825,29677,32619,62296,7494,8223,15717,37911,40824,78735,79400,88336,167736,18375,19570,37945,4689,5009,9698,18931,22141,41072,11176,12767,23943,14826,16064,30890,10880,12017,22897
2016-12-31,70-Jährige,41492,45742,87234,53907,59961,113868,11466,12796,24262,7526,8368,15894,3150,3418,6568,6835,7728,14563,25315,27660,52975,5016,5353,10369,34944,37999,72943,71444,81090,152534,16272,17470,33742,3691,4133,7824,14251,16423,30674,8926,10266,19192,13721,15101,28822,8670,10029,18699
2016-12-31,71-Jährige,35004,39455,74459,43058,48193,91251,12556,14693,27249,8606,10131,18737,2431,2794,5225,5963,6971,12934,20695,23114,43809,5152,5933,11085,27408,29945,57353,58660,68944,127604,13238,14770,28008,3374,3813,7187,16327,19704,36031,8884,10563,19447,10962,12696,23658,8078,9430,17508
2016-12-31,72-Jährige,45298,51102,96400,55663,61827,117490,16371,19234,35605,12782,14970,27752,3020,3448,6468,7510,8678,16188,27335,30611,57946,7562,8832,16394,35816,40453,76269,75956,88496,164452,17230,19332,36562,4476,5185,9661,23811,28296,52107,12251,14711,26962,14630,16460,31090,11610,13636,25246
2016-12-31,73-Jährige,44776,51947,96723,54915,61667,116582,17128,20188,37316,13648,15855,29503,3173,3472,6645,7483,8700,16183,26890,30072,56962,8140,9640,17780,36894,41044,77938,75253,88318,163571,16964,19173,36137,4250,5020,9270,22998,28066,51064,12513,15022,27535,15067,16845,31912,11637,13650,25287
2016-12-31,74-Jährige,44217,50144,94361,52382,59640,112022,15903,18951,34854,12904,15451,28355,2976,3605,6581,7227,8383,15610,25103,28541,53644,7635,9384,17019,35140,39600,74740,71970,85324,157294,16390,18564,34954,4079,4986,9065,20904,25950,46854,12110,14998,27108,14183,16138,30321,10519,12928,23447
2016-12-31,75-Jährige,51143,61195,112338,61840,73060,134900,17938,21860,39798,15773,18923,34696,3300,4019,7319,8138,9598,17736,29580,34242,63822,9550,11821,21371,41531,48277,89808,83571,101830,185401,19599,23239,42838,5165,6363,11528,25480,32154,57634,14523,18020,32543,16938,19243,36181,13175,16402,29577
2016-12-31,76-Jährige,52492,63643,116135,63815,77336,141151,16699,20774,37473,15208,19061,34269,3452,4082,7534,7926,9960,17886,30623,36598,67221,9256,11977,21233,41978,50040,92018,87504,109106,196610,20481,25243,45724,5210,6635,11845,25674,32622,58296,14439,18328,32767,16705,19252,35957,13647,17718,31365
2016-12-31,77-Jährige,50443,62243,112686,61455,75536,136991,14950,19547,34497,14310,18453,32763,3112,4034,7146,7295,9531,16826,28965,35465,64430,8950,12190,21140,39809,48768,88577,83431,106478,189909,19970,24217,44187,5099,6802,11901,24152,31656,55808,13461,17653,31114,15975,18932,34907,13090,16800,29890
2016-12-31,78-Jährige,45320,57564,102884,53705,67161,120866,13457,17810,31267,12569,16607,29176,2891,3870,6761,6641,8862,15503,25717,31975,57692,8146,11049,19195,36721,45805,82526,76345,98815,175160,17903,22302,40205,4620,6097,10717,21275,28290,49565,11508,15814,27322,14394,17523,31917,11003,14413,25416
2016-12-31,79-Jährige,40727,52054,92781,46792,60648,107440,11914,16719,28633,11228,15135,26363,2566,3537,6103,6230,8060,14290,22979,29340,52319,7047,9932,16979,32482,41256,73738,68394,91967,160361,16049,20590,36639,4352,6134,10486,18531,25420,43951,10242,14370,24612,12780,15678,28458,9332,13154,22486
2016-12-31,80-Jährige,37596,49058,86654,41955,56589,98544,10941,15343,26284,10301,14335,24636,2405,3367,5772,5592,7720,13312,21279,27641,48920,6314,9551,15865,28895,38477,67372,62732,86099,148831,14869,19661,34530,4162,5898,10060,17198,24566,41764,9211,13689,22900,11311,14579,25890,8668,12488,21156
2016-12-31,81-Jährige,33888,45483,79371,37189,52319,89508,10027,14335,24362,9511,13508,23019,2053,3113,5166,5050,7347,12397,18795,25790,44585,5895,8912,14807,25965,35904,61869,56745,80742,137487,13279,18291,31570,3570,5138,8708,16356,23359,39715,8263,12943,21206,9952,13473,23425,7690,11669,19359
2016-12-31,82-Jährige,28536,39806,68342,32188,46578,78766,8687,12906,21593,8079,11858,19937,1759,2697,4456,3983,6244,10227,16268,22861,39129,5041,7987,13028,21993,31762,53755,49728,73018,122746,11513,16077,27590,2831,4303,7134,13791,21069,34860,7090,11557,18647,8505,11670,20175,6616,10351,16967
2016-12-31,83-Jährige,22228,31919,54147,24870,37612,62482,5638,8911,14549,5570,8783,14353,1257,1979,3236,2886,4592,7478,12146,17568,29714,3665,6188,9853,15723,24015,39738,35942,55221,91163,8461,12593,21054,2356,3513,5869,9844,15798,25642,5060,8831,13891,5704,8475,14179,4789,7706,12495
2016-12-31,84-Jährige,19786,30117,49903,22541,36115,58656,4837,7994,12831,5134,8249,13383,1043,1993,3036,2560,4233,6793,10693,16471,27164,3397,5826,9223,14155,23015,37170,32585,52236,84821,7733,11837,19570,2143,3453,5596,8662,14579,23241,4649,8177,12826,4898,7834,12732,4321,7466,11787
2016-12-31,85-Jährige,18067,28671,46738,20101,33646,53747,4555,7612,12167,4485,7654,12139,986,1853,2839,2334,4199,6533,9748,15791,25539,2938,5274,8212,13074,22265,35339,29577,50215,79792,6938,11553,18491,1925,3305,5230,8019,14453,22472,4104,7796,11900,4473,7662,12135,3751,6937,10688
2016-12-31,86-Jährige,16412,27790,44202,18425,32491,50916,4137,7555,11692,4086,7474,11560,899,1804,2703,2182,4188,6370,9042,15948,24990,2504,4940,7444,11964,21744,33708,27784,49497,77281,6404,11381,17785,1707,2962,4669,7529,14543,22072,3674,7567,11241,4153,7189,11342,3497,6940,10437
2016-12-31,87-Jährige,13787,24777,38564,15646,28701,44347,3516,6824,10340,3274,6555,9829,826,1605,2431,1966,3776,5742,7926,13973,21899,2060,4277,6337,9969,19058,29027,23162,44157,67319,5465,10150,15615,1416,2710,4126,6377,13156,19533,2917,6728,9645,3507,6524,10031,2720,6076,8796
2016-12-31,88-Jährige,11630,22126,33756,13402,25368,38770,2838,5926,8764,2629,5641,8270,707,1501,2208,1683,3456,5139,6818,12418,19236,1610,3669,5279,8612,17234,25846,19615,39093,58708,4767,8956,13723,1122,2405,3527,5198,11342,16540,2415,5896,8311,3028,5998,9026,2362,5445,7807
2016-12-31,89-Jährige,8951,18465,27416,10264,21850,32114,2223,4907,7130,1861,4620,6481,561,1291,1852,1249,2900,4149,5217,10732,15949,1066,3066,4132,6885,14786,21671,14970,33081,48051,3625,7697,11322,903,2053,2956,3710,9464,13174,1764,4720,6484,2297,5134,7431,1712,4454,6166
2016-12-31,90 Jahre und mehr,24327,71731,96058,27727,84411,112138,5926,21381,27307,4490,16429,20919,1619,5192,6811,3953,12338,16291,14411,43004,57415,2624,10275,12899,17916,57225,75141,37856,123241,161097,9420,29519,38939,2328,7482,9810,9925,36181,46106,4396,16934,21330,6476,20605,27081,4404,15851,20255
2016-12-31,Insgesamt,5435665,5516228,10951893,6400820,6529931,12930751,1755700,1819130,3574830,1231683,1262965,2494648,335474,343279,678753,886289,924149,1810438,3066957,3146131,6213088,795467,815207,1610674,3923396,4022289,7945685,8776760,9113340,17890100,2006503,2059550,4066053,489416,507235,996651,2009991,2071792,4081783,1102454,1133798,2236252,1412665,1469261,2881926,1067878,1090250,2158128
2017-12-31,unter 1 Jahr,55068,52425,107493,64554,62073,126627,20606,19300,39906,10633,10080,20713,3554,3305,6859,10710,10079,20789,31116,29716,60832,6694,6415,13109,37320,35993,73313,88393,83129,171522,19476,18127,37603,4247,4034,8281,18841,18040,36881,9207,8695,17902,12924,12288,25212,9226,8806,18032
2017-12-31,1-Jährige,55804,52667,108471,65048,61640,126688,20467,19603,40070,11214,10682,21896,3518,3324,6842,10540,10218,20758,31381,30103,61484,6942,6732,13674,38300,36560,74860,89091,84919,174010,19635,18499,38134,4136,4147,8283,19498,18572,38070,9521,8930,18451,13170,12659,25829,9500,9129,18629
2017-12-31,2-Jährige,53413,51557,104970,62672,59640,122312,19637,18357,37994,10984,10303,21287,3439,3212,6651,9940,9434,19374,30639,28773,59412,7139,6858,13997,37164,34958,72122,86357,81335,167692,18990,18061,37051,4198,3761,7959,19450,18232,37682,9338,8977,18315,12907,12225,25132,9656,9022,18678
2017-12-31,3-Jährige,53009,49722,102731,61704,58278,119982,19011,18314,37325,11350,10852,22202,3342,3051,6393,9489,9227,18716,29580,28331,57911,7019,6717,13736,37230,34905,72135,84972,80246,165218,18637,17822,36459,4094,3890,7984,19245,18380,37625,9592,8880,18472,12823,12337,25160,9687,9132,18819
2017-12-31,4-Jährige,51245,48318,99563,59482,57122,116604,18101,17100,35201,10987,10354,21341,3043,2946,5989,9067,8655,17722,28732,27294,56026,6924,6697,13621,35566,33870,69436,81760,76329,158089,18026,17188,35214,3916,3548,7464,18988,17665,36653,9284,8821,18105,12566,11931,24497,9490,9044,18534
2017-12-31,5-Jährige,50379,47673,98052,59580,56192,115772,18050,16975,35025,11178,10774,21952,3008,2862,5870,8830,8339,17169,28795,27062,55857,7087,6666,13753,35481,33559,69040,81506,77244,158750,17979,16789,34768,3957,3679,7636,18878,17930,36808,9320,8926,18246,12868,12098,24966,9475,8949,18424
2017-12-31,6-Jährige,49460,47140,96600,57425,54129,111554,16881,15910,32791,11162,10731,21893,2871,2651,5522,8222,7869,16091,28561,26958,55519,7035,6614,13649,34983,33114,68097,79541,75285,154826,17798,16801,34599,4070,3749,7819,18641,17538,36179,9190,8673,17863,12408,11902,24310,9350,8866,18216
2017-12-31,7-Jährige,51069,48253,99322,57880,55166,113046,16911,16111,33022,11810,10941,22751,2982,2834,5816,8364,7915,16279,28826,27599,56425,7280,7000,14280,36364,34250,70614,82081,77119,159200,18097,17045,35142,3952,3845,7797,18657,17924,36581,9288,8942,18230,13116,12387,25503,9470,9108,18578
2017-12-31,8-Jährige,50395,47886,98281,57303,54330,111633,16520,15857,32377,11337,10766,22103,3048,2801,5849,8294,7680,15974,28682,27012,55694,7065,6895,13960,35982,33794,69776,80874,76221,157095,17710,16673,34383,3936,3765,7701,18418,17149,35567,9259,8717,17976,12997,12051,25048,8976,8775,17751
2017-12-31,9-Jährige,51668,49301,100969,58950,55920,114870,16729,15599,32328,11629,11014,22643,2960,2883,5843,8386,7872,16258,29147,27831,56978,7155,6861,14016,36929,35058,71987,83838,78759,162597,18518,17320,35838,4127,3866,7993,18403,17496,35899,9516,8988,18504,13156,12732,25888,9395,8840,18235
2017-12-31,10-Jährige,51713,49663,101376,58673,55981,114654,16245,15059,31304,11354,10738,22092,3084,2935,6019,8261,7634,15895,29401,27520,56921,6884,6588,13472,37312,34819,72131,83394,78671,162065,18485,17125,35610,4058,3782,7840,17911,16948,34859,9200,8681,17881,13504,12678,26182,9228,8553,17781
2017-12-31,11-Jährige,51381,48759,100140,57984,54554,112538,15188,14687,29875,10918,10180,21098,3028,2812,5840,8141,7415,15556,28544,27195,55739,6779,6302,13081,36984,34690,71674,82759,77842,160601,18086,16732,34818,4127,3686,7813,17025,16262,33287,8994,8128,17122,13287,12492,25779,8731,8053,16784
2017-12-31,12-Jährige,52398,49861,102259,58855,55626,114481,14978,14041,29019,10683,10133,20816,3080,2651,5731,7985,7520,15505,29330,27633,56963,6430,6313,12743,37608,35547,73155,84138,78841,162979,18268,17323,35591,4148,3902,8050,17034,16249,33283,8811,8503,17314,13303,12574,25877,8757,8297,17054
2017-12-31,13-Jährige,53800,50482,104282,59805,57580,117385,14921,14119,29040,10940,10187,21127,2958,2791,5749,7927,7395,15322,29732,27964,57696,6834,6488,13322,38902,36974,75876,85921,81012,166933,18965,17469,36434,4269,3932,8201,17171,16435,33606,8949,8329,17278,13956,13117,27073,9060,8506,17566
2017-12-31,14-Jährige,54277,50506,104783,60715,57869,118584,14303,13591,27894,10926,10126,21052,2940,2876,5816,7809,7225,15034,29499,27801,57300,6696,6343,13039,39128,37239,76367,87058,81386,168444,19070,18020,37090,4250,3936,8186,16549,15913,32462,8696,8047,16743,14023,13308,27331,8741,8362,17103
2017-12-31,15-Jährige,55347,51605,106952,61919,58726,120645,14502,13469,27971,10645,10077,20722,2994,2733,5727,7621,7263,14884,30242,28006,58248,6655,6091,12746,40802,38346,79148,89056,83377,172433,19466,18369,37835,4442,4089,8531,16361,15627,31988,9104,8233,17337,14399,13611,28010,8802,8259,17061
2017-12-31,16-Jährige,56848,52852,109700,64611,59640,124251,14405,13690,28095,10764,9919,20683,3218,2953,6171,7889,7439,15328,31301,28658,59959,6828,6285,13113,42435,39918,82353,92187,85554,177741,20436,18877,39313,4617,4264,8881,16853,15405,32258,9233,8337,17570,14891,14087,28978,9092,8478,17570
2017-12-31,17-Jährige,60342,55807,116149,67965,62942,130907,15214,14008,29222,11339,10547,21886,3430,3062,6492,8584,7629,16213,32869,30315,63184,7131,6375,13506,45402,41691,87093,97728,89911,187639,21787,20035,41822,4929,4492,9421,17608,16067,33675,9786,8439,18225,15947,14974,30921,9371,8459,17830
2017-12-31,18-Jährige,63982,56790,120772,71991,64002,135993,15595,14368,29963,11112,9752,20864,3842,3357,7199,8869,7900,16769,34225,30306,64531,6852,6137,12989,46746,41881,88627,100418,90786,191204,22518,20592,43110,5134,4682,9816,17469,15612,33081,9740,8085,17825,16877,15073,31950,9360,7893,17253
2017-12-31,19-Jährige,67470,59806,127276,76508,67469,143977,16371,15654,32025,10543,9028,19571,4416,3534,7950,9496,8793,18289,35971,32007,67978,6623,6117,12740,47432,43205,90637,104176,94133,198309,23181,21549,44730,5348,4662,10010,17046,15659,32705,9217,8232,17449,16366,15231,31597,9021,7970,16991
2017-12-31,20-Jährige,71613,63379,134992,80241,71419,151660,18102,17357,35459,10112,8493,18605,4458,4041,8499,10584,9853,20437,38726,34357,73083,6867,6124,12991,49244,44691,93935,109953,99696,209649,24557,22277,46834,5591,5026,10617,17347,16028,33375,9616,8370,17986,17250,15327,32577,9253,8212,17465
2017-12-31,21-Jährige,71432,63394,134826,79757,71888,151645,18731,18706,37437,9609,7953,17562,4554,4076,8630,10877,10411,21288,38050,34545,72595,6565,5797,12362,48778,43878,92656,109789,100078,209867,24248,21893,46141,5676,5019,10695,16913,15533,32446,9305,7994,17299,16699,15174,31873,8722,7941,16663
2017-12-31,22-Jährige,71012,63097,134109,79299,71552,150851,19376,19544,38920,8622,7121,15743,4349,4292,8641,11058,10697,21755,37489,33990,71479,5865,5380,11245,47812,42832,90644,108617,98721,207338,23669,21593,45262,5530,4905,10435,16238,14499,30737,8791,7422,16213,16158,14563,30721,8441,7293,15734
2017-12-31,23-Jährige,72217,64518,136735,80935,73434,154369,20644,20980,41624,8080,6791,14871,4609,4317,8926,11820,11739,23559,38180,35141,73321,5616,5024,10640,48297,43022,91319,111456,101622,213078,24261,22399,46660,5653,5251,10904,16040,14297,30337,8524,7310,15834,16472,14741,31213,7956,6960,14916
2017-12-31,24-Jährige,74422,66714,141136,84876,77591,162467,22073,22527,44600,7851,6853,14704,4790,4517,9307,12320,12549,24869,39003,36405,75408,5828,5122,10950,49660,44064,93724,114804,106147,220951,25250,23176,48426,5979,5394,11373,16530,14700,31230,8547,7361,15908,16636,15104,31740,8202,7237,15439
2017-12-31,25-Jährige,75406,67143,142549,85747,79733,165480,23669,24443,48112,8455,7168,15623,4916,4599,9515,12860,13319,26179,39536,36824,76360,6349,5689,12038,49111,44204,93315,116107,107763,223870,25597,23733,49330,6105,5640,11745,17186,15342,32528,8937,7929,16866,16610,15143,31753,8576,7771,16347
2017-12-31,26-Jährige,76637,69811,146448,88711,81039,169750,26205,26614,52819,9331,8431,17762,5225,4823,10048,13932,14415,28347,40857,38573,79430,6990,6381,13371,49691,44842,94533,117978,110789,228767,26319,23831,50150,6361,5640,12001,19643,17600,37243,9880,8649,18529,16923,15477,32400,9596,8478,18074
2017-12-31,27-Jährige,80626,73032,153658,93475,85922,179397,31311,31937,63248,13497,12506,26003,5525,4916,10441,15321,15827,31148,43248,40689,83937,10232,9382,19614,51986,46630,98616,122712,114592,237304,27108,24630,51738,6517,5830,12347,27770,24737,52507,14221,11999,26220,17745,16291,34036,13576,11870,25446
2017-12-31,28-Jährige,78738,71378,150116,90536,84612,175148,32478,32971,65449,14411,13370,27781,5330,4953,10283,15325,15902,31227,42802,40260,83062,10720,9688,20408,50485,45757,96242,118154,112269,230423,26399,24175,50574,6357,5685,12042,28629,25385,54014,14315,12558,26873,17151,15896,33047,13628,12238,25866
2017-12-31,29-Jährige,80475,72594,153069,92918,86082,179000,33601,33835,67436,15062,14013,29075,5483,5070,10553,15936,16512,32448,43445,40606,84051,11250,10011,21261,51571,46965,98536,120452,114029,234481,26986,24619,51605,6440,5890,12330,29153,26203,55356,14881,13046,27927,17697,16095,33792,14698,12965,27663
2017-12-31,30-Jährige,77028,70187,147215,90752,83361,174113,33440,33010,66450,15435,14614,30049,5196,4817,10013,15677,15774,31451,41887,39825,81712,11377,10255,21632,49947,46138,96085,117511,111747,229258,25730,24258,49988,6332,5812,12144,29600,26557,56157,14623,13063,27686,17155,15882,33037,14755,12988,27743
2017-12-31,31-Jährige,75729,70338,146067,89379,83563,172942,32755,32141,64896,15095,14436,29531,5146,4684,9830,15402,15449,30851,41047,39537,80584,10864,9993,20857,48784,45627,94411,114423,110583,225006,25294,23920,49214,6230,5756,11986,28067,25677,53744,14218,12535,26753,16422,15785,32207,14495,12512,27007
2017-12-31,32-Jährige,73363,67846,141209,85329,80916,166245,32147,31137,63284,15645,14627,30272,4882,4413,9295,14855,15108,29963,39720,37816,77536,10774,9906,20680,46289,44744,91033,109817,106788,216605,24316,23133,47449,5908,5460,11368,28623,25403,54026,14139,12490,26629,15792,15510,31302,14143,12509,26652
2017-12-31,33-Jährige,72630,67853,140483,85097,81120,166217,31212,29923,61135,15338,14615,29953,4634,4375,9009,14783,14775,29558,39685,38905,78590,10548,9717,20265,46035,43775,89810,109187,106393,215580,24159,23241,47400,5749,5485,11234,27793,25076,52869,14130,12609,26739,15704,15586,31290,14246,12501,26747
2017-12-31,34-Jährige,71266,68226,139492,85665,81704,167369,30537,29430,59967,15640,14769,30409,4720,4494,9214,14522,14655,29177,39294,38805,78099,10668,9687,20355,46094,44856,90950,109060,107208,216268,24309,23328,47637,5871,5517,11388,28007,25140,53147,14354,12534,26888,15910,16006,31916,14313,12617,26930
2017-12-31,35-Jährige,72963,69740,142703,87012,84613,171625,30480,29155,59635,16155,14985,31140,4710,4601,9311,14605,14655,29260,40398,40123,80521,10914,9772,20686,46728,46002,92730,111253,109886,221139,24938,24137,49075,5984,5658,11642,28534,25135,53669,14162,12352,26514,16317,16772,33089,14675,12807,27482
2017-12-31,36-Jährige,71940,69890,141830,86244,84655,170899,29449,28633,58082,15890,15180,31070,4638,4185,8823,14324,14692,29016,39746,40493,80239,10535,9412,19947,46615,46546,93161,109603,109543,219146,24651,24463,49114,5995,5538,11533,27604,24403,52007,14121,12282,26403,16341,16909,33250,14192,12500,26692
2017-12-31,37-Jährige,72326,70315,142641,85755,84264,170019,29232,27496,56728,16633,15594,32227,4497,4209,8706,14379,14457,28836,40298,40617,80915,10643,9794,20437,46735,47160,93895,109685,110792,220477,24062,24347,48409,5944,5602,11546,28137,25018,53155,14330,12587,26917,16693,17438,34131,14634,12822,27456
2017-12-31,38-Jährige,67431,66729,134160,82078,80738,162816,26869,25633,52502,16042,15047,31089,4324,3923,8247,13436,13396,26832,38597,39191,77788,10586,9285,19871,44727,44918,89645,103387,105428,208815,23354,23210,46564,5386,5531,10917,27267,23784,51051,13735,11990,25725,15951,16585,32536,13947,12223,26170
2017-12-31,39-Jährige,66139,64871,131010,80362,79787,160149,25745,24194,49939,16013,15315,31328,4171,3862,8033,13156,12817,25973,38138,38760,76898,10459,9292,19751,44814,44681,89495,102404,104220,206624,23089,22909,45998,5190,5407,10597,27061,24069,51130,13604,12041,25645,16195,16491,32686,13437,11861,25298
2017-12-31,40-Jährige,65879,64651,130530,80481,78885,159366,24814,23663,48477,15474,14779,30253,4054,3957,8011,12980,12498,25478,37449,38542,75991,10212,8909,19121,44564,44494,89058,103158,103847,207005,22578,22969,45547,5301,5455,10756,26485,23322,49807,13066,11581,24647,16016,16528,32544,13207,11688,24895
2017-12-31,41-Jährige,66172,64539,130711,79382,78417,157799,23546,22698,46244,14252,13449,27701,4093,3940,8033,12539,12546,25085,37643,38498,76141,8880,7827,16707,44601,44910,89511,102905,104809,207714,22536,22544,45080,5172,5156,10328,23433,21106,44539,11720,10358,22078,16032,16744,32776,11815,10581,22396
2017-12-31,42-Jährige,64607,63812,128419,77865,77059,154924,22600,21417,44017,13668,12747,26415,4005,3896,7901,12027,11792,23819,37019,37184,74203,8429,7407,15836,43913,43651,87564,100558,102141,202699,22129,22370,44499,5078,4975,10053,22526,19876,42402,11335,9786,21121,15864,16299,32163,11447,10036,21483
2017-12-31,43-Jährige,65779,65720,131499,78920,78588,157508,21995,20887,42882,13256,12699,25955,4011,3739,7750,12153,11606,23759,37699,37798,75497,8239,7321,15560,44883,45490,90373,101619,103995,205614,22091,22784,44875,5083,5180,10263,22336,19508,41844,11430,10308,21738,15958,16390,32348,11859,10333,22192
2017-12-31,44-Jährige,65494,65220,130714,78645,78167,156812,21130,20396,41526,13523,13089,26612,3983,3854,7837,11542,11547,23089,37670,38146,75816,8454,7617,16071,45688,46616,92304,103092,105258,208350,22798,23185,45983,5110,5230,10340,22633,19806,42439,11961,10580,22541,16489,16938,33427,12194,10798,22992
2017-12-31,45-Jährige,70796,70385,141181,84688,84425,169113,22083,20983,43066,15258,14215,29473,4228,4079,8307,12189,11860,24049,40308,40633,80941,9154,8406,17560,50367,50449,100816,111786,113139,224925,24694,25420,50114,5678,5774,11452,24754,21614,46368,13633,12291,25924,17883,18462,36345,13928,12025,25953
2017-12-31,46-Jährige,76566,75258,151824,91857,90951,182808,24263,23046,47309,17803,16764,34567,4494,4368,8862,12943,12520,25463,43675,43808,87483,10685,9631,20316,55230,55810,111040,122293,123843,246136,27264,27593,54857,6220,6477,12697,28819,25392,54211,16181,14544,30725,20138,20669,40807,15519,13669,29188
2017-12-31,47-Jährige,79427,78363,157790,95426,94268,189694,24504,23385,47889,17901,17318,35219,4732,4457,9189,13277,12816,26093,45724,45645,91369,10732,10032,20764,57867,58472,116339,128480,128723,257203,28695,28837,57532,6507,6563,13070,28579,25556,54135,16063,14987,31050,21221,21385,42606,15548,14178,29726
2017-12-31,48-Jährige,85563,83436,168999,103815,101089,204904,25686,24268,49954,18584,18169,36753,5045,4761,9806,13892,13251,27143,49376,48513,97889,11108,10459,21567,63325,62850,126175,140902,140662,281564,31135,31229,62364,7238,7393,14631,28416,26049,54465,16566,15558,32124,23578,23738,47316,15624,14384,30008
