GENESIS-Tabelle: 12613-0006;;;
Gestorbene: Deutschland; Monate; Geschlecht;
Statistik der Sterbefälle;;;
Deutschland;;;
Gestorbene (Anzahl);;;
;;männlich;weiblich
1970;Dezember;40680;42066
1971;Januar;43511;45613
1971;Februar;36774;38367
1971;März;43523;46662
1971;April;39565;41594
1971;Mai;39586;41083
1971;Juni;36995;37319
1971;Juli;39116;39852
1971;August;37002;37523
1971;September;36645;36672
1971;Oktober;38565;39287
1971;November;39615;40102
1971;Dezember;44788;45864
1972;Januar;46071;47047
1972;Februar;42848;45098
1972;März;41382;43284
1972;April;37491;39007
1972;Mai;39954;40897
1972;Juni;36904;37631
1972;Juli;38540;39323
1972;August;36848;36778
1972;September;36417;37045
1972;Oktober;39791;40751
1972;November;38127;39116
1972;Dezember;41793;43546
1973;Januar;49385;50399
1973;Februar;39423;41381
1973;März;40207;42209
1973;April;38068;40253
1973;Mai;38751;39876
1973;Juni;36956;37982
1973;Juli;37397;38233
1973;August;37545;38635
1973;September;35566;35997
1973;Oktober;39803;40565
1973;November;38948;40163
1973;Dezember;41645;43601
1974;Januar;40442;43337
1974;Februar;36997;39197
1974;März;42818;45807
1974;April;39075;40819
1974;Mai;39122;40970
1974;Juni;36696;37789
1974;Juli;36636;37894
1974;August;36712;38468
1974;September;36020;37214
1974;Oktober;40384;42250
1974;November;39524;41482
1974;Dezember;41929;44991
1975;Januar;45836;48493
1975;Februar;45808;48220
1975;März;42946;46701
1975;April;39310;41976
1975;Mai;38433;40583
1975;Juni;37379;39351
1975;Juli;37799;39576
1975;August;38752;41171
1975;September;36489;37680
1975;Oktober;39489;40715
1975;November;38743;41151
1975;Dezember;40207;42841
1976;Januar;39902;42656
1976;Februar;38961;41817
1976;März;46382;50423
1976;April;41436;45141
1976;Mai;38459;41209
1976;Juni;38244;40501
1976;Juli;38543;41136
1976;August;36223;37841
1976;September;35136;36810
1976;Oktober;37374;38893
1976;November;37594;39860
1976;Dezember;39827;42505
1977;Januar;40023;42818
1977;Februar;35600;38057
1977;März;40279;43343
1977;April;39075;42062
1977;Mai;37668;40180
1977;Juni;35781;38192
1977;Juli;36134;37417
1977;August;35992;37331
1977;September;35354;36815
1977;Oktober;37867;39963
1977;November;37570;39732
1977;Dezember;40343;43559
1978;Januar;41298;44410
1978;Februar;42302;46072
1978;März;41534;45700
1978;April;37888;40213
1978;Mai;38941;41052
1978;Juni;36572;38074
1978;Juli;37300;39637
1978;August;35565;37534
1978;September;35242;37456
1978;Oktober;37703;40203
1978;November;37147;39387
1978;Dezember;40231;44089
1979;Januar;41433;45714
1979;Februar;36744;40925
1979;März;41420;45701
1979;April;38005;41418
1979;Mai;38751;41847
1979;Juni;35848;38153
1979;Juli;36148;38221
1979;August;35562;37941
1979;September;35533;36873
1979;Oktober;37704;40928
1979;November;37868;40990
1979;Dezember;38480;42267
1980;Januar;40621;44922
1980;Februar;38642;42349
1980;März;40530;44796
1980;April;36960;40784
1980;Mai;38282;41933
1980;Juni;36061;39364
1980;Juli;37168;40213
1980;August;36355;38389
1980;September;35370;37508
1980;Oktober;38323;40935
1980;November;38092;41669
1980;Dezember;39520;43585
1981;Januar;39557;43619
1981;Februar;36655;40882
1981;März;41307;46481
1981;April;37232;40750
1981;Mai;37918;41498
1981;Juni;35987;39846
1981;Juli;36879;40272
1981;August;36157;39588
1981;September;35081;38701
1981;Oktober;38169;41786
1981;November;37437;41963
1981;Dezember;40868;45803
1982;Januar;40605;46588
1982;Februar;36087;40465
1982;März;42078;47084
1982;April;37738;42139
1982;Mai;37052;41297
1982;Juni;36533;40409
1982;Juli;36415;40249
1982;August;35083;38440
1982;September;34207;37856
1982;Oktober;35866;39545
1982;November;35832;40339
1982;Dezember;38869;43056
1983;Januar;39373;44499
1983;Februar;38299;43270
1983;März;41105;47894
1983;April;36502;41187
1983;Mai;36275;40793
1983;Juni;35243;39232
1983;Juli;36709;40523
1983;August;34970;39282
1983;September;33497;36808
1983;Oktober;36045;39709
1983;November;36541;40841
1983;Dezember;38496;43939
1984;Januar;37765;42870
1984;Februar;35333;40608
1984;März;39058;45130
1984;April;36672;42134
1984;Mai;35871;40246
1984;Juni;34716;38522
1984;Juli;35268;39599
1984;August;34266;37385
1984;September;33167;36958
1984;Oktober;35977;40234
1984;November;35726;40591
1984;Dezember;37040;42163
1985;Januar;41800;48649
1985;Februar;38920;46229
1985;März;40001;46997
1985;April;35088;40084
1985;Mai;36276;41402
1985;Juni;33168;37283
1985;Juli;34513;38650
1985;August;33147;36664
1985;September;32968;36996
1985;Oktober;34888;39158
1985;November;36410;41492
1985;Dezember;36573;42293
1986;Januar;37185;43230
1986;Februar;37233;44364
1986;März;44242;54161
1986;April;35458;41727
1986;Mai;34557;39443
1986;Juni;34286;39288
1986;Juli;33689;38679
1986;August;33077;38058
1986;September;33094;37392
1986;Oktober;34147;39519
1986;November;34076;39141
1986;Dezember;36902;42478
1987;Januar;38610;44671
1987;Februar;33904;39872
1987;März;37492;43831
1987;April;34297;39905
1987;Mai;34799;39804
1987;Juni;33814;38691
1987;Juli;33809;37927
1987;August;33294;38299
1987;September;31964;36647
1987;Oktober;35202;39850
1987;November;34619;39777
1987;Dezember;36908;43305
1988;Januar;36150;41050
1988;Februar;33601;39166
1988;März;37641;44655
1988;April;35653;41690
1988;Mai;35330;40734
1988;Juni;33058;37348
1988;Juli;33108;38547
1988;August;33061;37848
1988;September;32691;37328
1988;Oktober;34819;40177
1988;November;35214;40692
1988;Dezember;37102;43964
1989;Januar;36790;43266
1989;Februar;34315;40498
1989;März;36555;43290
1989;April;33271;39131
1989;Mai;35269;41307
1989;Juni;33423;38230
1989;Juli;33039;38086
1989;August;33174;38211
1989;September;32264;37307
1989;Oktober;35469;40737
1989;November;34645;39983
1989;Dezember;38884;46297
1990;Januar;42193;51408
1990;Februar;35449;42669
1990;März;36311;42600
1990;April;34710;40708
1990;Mai;34343;39722
1990;Juni;33279;38337
1990;Juli;33280;37942
1990;August;33538;38772
1990;September;33397;38345
1990;Oktober;35733;41063
1990;November;34569;40356
1990;Dezember;38291;44430
1991;Januar;37006;43587
1991;Februar;35683;42337
1991;März;36925;44172
1991;April;34556;40145
1991;Mai;35215;40703
1991;Juni;33364;38163
1991;Juli;34555;39847
1991;August;33207;37290
1991;September;31770;36445
1991;Oktober;35327;40178
1991;November;35421;41198
1991;Dezember;38789;45362
1992;Januar;37691;44070
1992;Februar;34495;40961
1992;März;35631;41793
1992;April;34487;39821
1992;Mai;34096;38814
1992;Juni;32234;36372
1992;Juli;32832;37623
1992;August;33049;38211
1992;September;32161;36497
1992;Oktober;34874;40200
1992;November;33693;39352
1992;Dezember;35340;41146
1993;Januar;37489;44046
1993;Februar;34004;39267
1993;März;40233;49378
1993;April;34864;40797
1993;Mai;33345;37854
1993;Juni;31919;35657
1993;Juli;32546;36924
