GENESIS-Tabelle: 12411-0006,,,,
"Bevölkerung: Deutschland, Stichtag, Altersjahre,",,,,
Nationalität/Geschlecht/Familienstand,,,,
Fortschreibung des Bevölkerungsstandes,,,,
Deutschland,,,,
Bevölkerungsstand (Anzahl),,,,
,,Geschlecht,Geschlecht,Geschlecht
,,männlich,weiblich,Insgesamt
1970-12-31,unter 1 Jahr,401679,382934,784613
1970-12-31,1-Jährige,448827,427427,876254
1970-12-31,2-Jährige,483801,460014,943815
1970-12-31,3-Jährige,504306,480476,984782
1970-12-31,4-Jährige,518807,494128,1012935
1970-12-31,5-Jährige,520701,494477,1015178
1970-12-31,6-Jährige,531377,504548,1035925
1970-12-31,7-Jährige,524231,499258,1023489
1970-12-31,8-Jährige,505021,480673,985694
1970-12-31,9-Jährige,502342,478820,981162
1970-12-31,10-Jährige,485587,462655,948242
1970-12-31,11-Jährige,474943,449530,924473
1970-12-31,12-Jährige,453733,429366,883099
1970-12-31,13-Jährige,445000,421625,866625
1970-12-31,14-Jährige,429208,407521,836729
1970-12-31,15-Jährige,414574,392218,806792
1970-12-31,16-Jährige,417036,398010,815046
1970-12-31,17-Jährige,403805,386152,789957
1970-12-31,18-Jährige,413332,393543,806875
1970-12-31,19-Jährige,409147,393738,802885
1970-12-31,20-Jährige,419966,405752,825718
1970-12-31,21-Jährige,429275,406559,835834
1970-12-31,22-Jährige,410415,389636,800051
1970-12-31,23-Jährige,392317,371232,763549
1970-12-31,24-Jährige,368837,345595,714432
1970-12-31,25-Jährige,320128,297694,617822
1970-12-31,26-Jährige,419426,392948,812374
1970-12-31,27-Jährige,432147,399825,831972
1970-12-31,28-Jährige,429324,390756,820080
1970-12-31,29-Jährige,519109,474420,993529
1970-12-31,30-Jährige,565680,513838,1079518
1970-12-31,31-Jährige,557881,507609,1065490
1970-12-31,32-Jährige,527776,480218,1007994
1970-12-31,33-Jährige,498541,453537,952078
1970-12-31,34-Jährige,493768,450742,944510
1970-12-31,35-Jährige,482928,441688,924616
1970-12-31,36-Jährige,458425,416855,875280
1970-12-31,37-Jährige,378777,343596,722373
1970-12-31,38-Jährige,379914,350331,730245
1970-12-31,39-Jährige,391213,362839,754052
1970-12-31,40-Jährige,419157,391057,810214
1970-12-31,41-Jährige,411287,385990,797277
1970-12-31,42-Jährige,418672,394267,812939
1970-12-31,43-Jährige,380301,386602,766903
1970-12-31,44-Jährige,359169,404408,763577
1970-12-31,45-Jährige,348134,423990,772124
1970-12-31,46-Jährige,309577,417060,726637
1970-12-31,47-Jährige,306596,418206,724802
1970-12-31,48-Jährige,325669,440241,765910
1970-12-31,49-Jährige,337581,464994,802575
1970-12-31,50-Jährige,331185,468588,799773
1970-12-31,51-Jährige,257033,359215,616248
1970-12-31,52-Jährige,173856,242041,415897
1970-12-31,53-Jährige,169241,233116,402357
1970-12-31,54-Jährige,185453,257822,443275
1970-12-31,55-Jährige,241162,340131,581293
1970-12-31,56-Jährige,304821,434265,739086
1970-12-31,57-Jährige,316415,439367,755782
1970-12-31,58-Jährige,324839,445910,770749
1970-12-31,59-Jährige,309027,424800,733827
1970-12-31,60-Jährige,310650,436345,746995
1970-12-31,61-Jährige,317683,440182,757865
1970-12-31,62-Jährige,311081,434004,745085
1970-12-31,63-Jährige,308493,419254,727747
1970-12-31,64-Jährige,296871,410021,706892
1970-12-31,65-Jährige,298739,388924,687663
1970-12-31,66-Jährige,290288,382429,672717
1970-12-31,67-Jährige,269606,361535,631141
1970-12-31,68-Jährige,261171,359514,620685
1970-12-31,69-Jährige,243456,342280,585736
1970-12-31,70-Jährige,221682,318982,540664
1970-12-31,71-Jährige,196939,302306,499245
1970-12-31,72-Jährige,175587,289649,465236
1970-12-31,73-Jährige,153549,266484,420033
1970-12-31,74-Jährige,138520,254637,393157
1970-12-31,75-Jährige,120504,229936,350440
1970-12-31,76-Jährige,107047,212012,319059
1970-12-31,77-Jährige,98353,193675,292028
1970-12-31,78-Jährige,86340,170820,257160
1970-12-31,79-Jährige,79101,155111,234212
1970-12-31,80-Jährige,68194,133151,201345
1970-12-31,81-Jährige,59635,117772,177407
1970-12-31,82-Jährige,52799,101883,154682
1970-12-31,83-Jährige,44858,86170,131028
1970-12-31,84-Jährige,36634,70638,107272
1970-12-31,85 Jahre und mehr,131362,246976,378338
1970-12-31,Insgesamt,29071621,31929543,61001164
1971-12-31,unter 1 Jahr,391188,371639,762827
1971-12-31,1-Jährige,401467,383193,784660
1971-12-31,2-Jährige,451548,430014,881562
1971-12-31,3-Jährige,487588,463299,950887
1971-12-31,4-Jährige,507908,483477,991385
1971-12-31,5-Jährige,522301,497042,1019343
1971-12-31,6-Jährige,523498,496931,1020429
1971-12-31,7-Jährige,533763,506975,1040738
1971-12-31,8-Jährige,526773,501543,1028316
1971-12-31,9-Jährige,507740,483095,990835
1971-12-31,10-Jährige,504993,481259,986252
1971-12-31,11-Jährige,488584,465430,954014
1971-12-31,12-Jährige,477830,452090,929920
1971-12-31,13-Jährige,456348,431719,888067
1971-12-31,14-Jährige,448238,424454,872692
1971-12-31,15-Jährige,435637,411316,846953
1971-12-31,16-Jährige,421064,396248,817312
1971-12-31,17-Jährige,422275,402751,825026
1971-12-31,18-Jährige,411500,393573,805073
1971-12-31,19-Jährige,420710,403090,823800
1971-12-31,20-Jährige,411563,402319,813882
1971-12-31,21-Jährige,429285,414138,843423
1971-12-31,22-Jährige,441414,414077,855491
1971-12-31,23-Jährige,424178,397073,821251
1971-12-31,24-Jährige,405589,377576,783165
1971-12-31,25-Jährige,379324,351106,730430
1971-12-31,26-Jährige,329595,302627,632222
1971-12-31,27-Jährige,427453,397125,824578
1971-12-31,28-Jährige,438853,403339,842192
1971-12-31,29-Jährige,436944,394057,831001
1971-12-31,30-Jährige,525186,477394,1002580
1971-12-31,31-Jährige,571736,516696,1088432
1971-12-31,32-Jährige,563446,510261,1073707
1971-12-31,33-Jährige,532985,482676,1015661
1971-12-31,34-Jährige,503239,455616,958855
1971-12-31,35-Jährige,498114,452842,950956
1971-12-31,36-Jährige,485627,443359,928986
1971-12-31,37-Jährige,461212,418350,879562
1971-12-31,38-Jährige,382206,344948,727154
1971-12-31,39-Jährige,382624,351584,734208
1971-12-31,40-Jährige,393036,363838,756874
1971-12-31,41-Jährige,420678,391938,812616
1971-12-31,42-Jährige,411986,386516,798502
1971-12-31,43-Jährige,418944,394671,813615
1971-12-31,44-Jährige,380566,386655,767221
1971-12-31,45-Jährige,358964,404371,763335
1971-12-31,46-Jährige,347536,423537,771073
1971-12-31,47-Jährige,308820,416579,725399
1971-12-31,48-Jährige,305572,417431,723003
1971-12-31,49-Jährige,324364,439063,763427
1971-12-31,50-Jährige,335596,463599,799195
1971-12-31,51-Jährige,328991,467001,795992
1971-12-31,52-Jährige,255160,357946,613106
1971-12-31,53-Jährige,172323,241056,413379
1971-12-31,54-Jährige,167610,232125,399735
1971-12-31,55-Jährige,183528,256756,440284
1971-12-31,56-Jährige,238393,338356,576749
1971-12-31,57-Jährige,300852,431817,732669
1971-12-31,58-Jährige,311649,436651,748300
1971-12-31,59-Jährige,319550,442806,762356
1971-12-31,60-Jährige,303276,421968,725244
1971-12-31,61-Jährige,304238,433377,737615
1971-12-31,62-Jährige,310482,436533,747015
1971-12-31,63-Jährige,303113,429563,732676
1971-12-31,64-Jährige,299891,414338,714229
1971-12-31,65-Jährige,287704,404519,692223
1971-12-31,66-Jährige,288749,383079,671828
1971-12-31,67-Jährige,279422,375623,655045
1971-12-31,68-Jährige,258458,354218,612676
1971-12-31,69-Jährige,248940,351094,600034
1971-12-31,70-Jährige,231076,333273,564349
1971-12-31,71-Jährige,209121,309635,518756
1971-12-31,72-Jährige,184806,292097,476903
1971-12-31,73-Jährige,163896,278509,442405
1971-12-31,74-Jährige,142370,254943,397313
1971-12-31,75-Jährige,127705,242035,369740
1971-12-31,76-Jährige,110272,217248,327520
1971-12-31,77-Jährige,97169,198975,296144
1971-12-31,78-Jährige,88644,179973,268617
1971-12-31,79-Jährige,77244,157588,234832
1971-12-31,80-Jährige,69686,141409,211095
1971-12-31,81-Jährige,59716,120134,179850
1971-12-31,82-Jährige,51405,105044,156449
1971-12-31,83-Jährige,44972,89394,134366
1971-12-31,84-Jährige,37620,74616,112236
1971-12-31,85 Jahre und mehr,131808,256878,388686
1971-12-31,Insgesamt,29367427,32135076,61502503
1972-12-31,unter 1 Jahr,351980,335114,687094
1972-12-31,1-Jährige,389899,370920,760819
1972-12-31,2-Jährige,403499,384899,788398
1972-12-31,3-Jährige,455154,432809,887963
1972-12-31,4-Jährige,491191,466022,957213
1972-12-31,5-Jährige,510570,485774,996344
1972-12-31,6-Jährige,523978,498720,1022698
1972-12-31,7-Jährige,525225,498438,1023663
1972-12-31,8-Jährige,535836,508857,1044693
1972-12-31,9-Jährige,528747,503506,1032253
1972-12-31,10-Jährige,509876,485064,994940
1972-12-31,11-Jährige,507281,483229,990510
1972-12-31,12-Jährige,491045,467693,958738
1972-12-31,13-Jährige,480203,454171,934374
1972-12-31,14-Jährige,459309,434283,893592
1972-12-31,15-Jährige,453600,427737,881337
1972-12-31,16-Jährige,441621,415017,856638
1972-12-31,17-Jährige,425795,400617,826412
1972-12-31,18-Jährige,428933,410068,839001
1972-12-31,19-Jährige,416958,402282,819240
1972-12-31,20-Jährige,421913,412362,834275
1972-12-31,21-Jährige,417169,409345,826514
1972-12-31,22-Jährige,439402,421848,861250
1972-12-31,23-Jährige,450807,420883,871690
1972-12-31,24-Jährige,433672,403408,837080
1972-12-31,25-Jährige,413246,382652,795898
1972-12-31,26-Jährige,384898,355207,740105
1972-12-31,27-Jährige,334346,306464,640810
1972-12-31,28-Jährige,431347,400213,831560
1972-12-31,29-Jährige,442697,406012,848709
1972-12-31,30-Jährige,442958,396599,839557
1972-12-31,31-Jährige,527272,479287,1006559
1972-12-31,32-Jährige,573592,518655,1092247
1972-12-31,33-Jährige,565052,512058,1077110
1972-12-31,34-Jährige,534813,484193,1019006
1972-12-31,35-Jährige,504216,457099,961315
1972-12-31,36-Jährige,498539,453841,952380
1972-12-31,37-Jährige,485574,444189,929763
1972-12-31,38-Jährige,461107,419051,880158
1972-12-31,39-Jährige,382426,345577,728003
1972-12-31,40-Jährige,382491,352139,734630
1972-12-31,41-Jährige,392268,364019,756287
1972-12-31,42-Jährige,419463,392144,811607
1972-12-31,43-Jährige,410990,386467,797457
1972-12-31,44-Jährige,417650,394602,812252
1972-12-31,45-Jährige,379094,386396,765490
1972-12-31,46-Jährige,357592,403926,761518
1972-12-31,47-Jährige,345942,422836,768778
1972-12-31,48-Jährige,307079,415849,722928
1972-12-31,49-Jährige,303754,416441,720195
1972-12-31,50-Jährige,322133,437825,759958
1972-12-31,51-Jährige,333183,461852,795035
1972-12-31,52-Jährige,326329,465160,791489
1972-12-31,53-Jährige,252884,356362,609246
1972-12-31,54-Jährige,170620,239860,410480
1972-12-31,55-Jährige,165736,230978,396714
1972-12-31,56-Jährige,181325,255400,436725
1972-12-31,57-Jährige,235148,336363,571511
1972-12-31,58-Jährige,296443,429017,725460
1972-12-31,59-Jährige,306473,433557,740030
1972-12-31,60-Jährige,313670,439844,753514
1972-12-31,61-Jährige,296966,419026,715992
1972-12-31,62-Jährige,297265,429691,726956
1972-12-31,63-Jährige,302790,431900,734690
1972-12-31,64-Jährige,294543,424584,719127
1972-12-31,65-Jährige,290643,408670,699313
1972-12-31,66-Jährige,278170,398173,676343
1972-12-31,67-Jährige,277806,376426,654232
1972-12-31,68-Jährige,267784,368194,635978
1972-12-31,69-Jährige,246407,346133,592540
1972-12-31,70-Jährige,236240,342022,578262
1972-12-31,71-Jährige,218012,323439,541451
1972-12-31,72-Jährige,196259,299423,495682
1972-12-31,73-Jährige,172449,281239,453688
1972-12-31,74-Jährige,151830,266820,418650
1972-12-31,75-Jährige,131088,242540,373628
1972-12-31,76-Jährige,116533,228820,345353
1972-12-31,77-Jährige,100109,203808,303917
1972-12-31,78-Jährige,87415,185262,272677
1972-12-31,79-Jährige,78940,166096,245036
1972-12-31,80-Jährige,68235,144175,212410
1972-12-31,81-Jährige,60987,127869,188856
1972-12-31,82-Jährige,51564,107204,158768
1972-12-31,83-Jährige,43902,92513,136415
1972-12-31,84-Jährige,37820,77576,115396
1972-12-31,85 Jahre und mehr,133484,269321,402805
1972-12-31,Insgesamt,29533254,32276124,61809378
1973-12-31,unter 1 Jahr,318603,304421,623024
1973-12-31,1-Jährige,350062,334297,684359
1973-12-31,2-Jährige,391275,372075,763350
1973-12-31,3-Jährige,406584,387578,794162
1973-12-31,4-Jährige,458713,435691,894404
1973-12-31,5-Jährige,494123,468446,962569
1973-12-31,6-Jährige,511629,486921,998550
1973-12-31,7-Jährige,525277,500099,1025376
1973-12-31,8-Jährige,527438,500412,1027850
1973-12-31,9-Jährige,538255,510982,1049237
1973-12-31,10-Jährige,531129,505546,1036675
1973-12-31,11-Jährige,512416,487451,999867
1973-12-31,12-Jährige,509670,485323,994993
1973-12-31,13-Jährige,493930,470218,964148
1973-12-31,14-Jährige,483547,456853,940400
1973-12-31,15-Jährige,465090,437957,903047
1973-12-31,16-Jährige,459060,431309,890369
1973-12-31,17-Jährige,447056,419928,866984
1973-12-31,18-Jährige,433561,408927,842488
1973-12-31,19-Jährige,435816,420847,856663
1973-12-31,20-Jährige,418486,412746,831232
1973-12-31,21-Jährige,430707,421636,852343
1973-12-31,22-Jährige,429911,416621,846532
1973-12-31,23-Jährige,454116,429677,883793
1973-12-31,24-Jährige,464862,427146,892008
1973-12-31,25-Jährige,447445,408896,856341
1973-12-31,26-Jährige,423149,387327,810476
1973-12-31,27-Jährige,392251,358776,751027
1973-12-31,28-Jährige,341524,309840,651364
1973-12-31,29-Jährige,438750,402863,841613
1973-12-31,30-Jährige,451846,408260,860106
1973-12-31,31-Jährige,448296,398830,847126
1973-12-31,32-Jährige,531070,481013,1012083
1973-12-31,33-Jährige,577586,520280,1097866
1973-12-31,34-Jährige,567884,513608,1081492
1973-12-31,35-Jährige,537502,485683,1023185
1973-12-31,36-Jährige,505332,458079,963411
1973-12-31,37-Jährige,498466,454546,953012
1973-12-31,38-Jährige,485736,444856,930592
1973-12-31,39-Jährige,461194,419542,880736
1973-12-31,40-Jährige,382616,346092,728708
1973-12-31,41-Jährige,381838,352535,734373
1973-12-31,42-Jährige,391012,364179,755191
1973-12-31,43-Jährige,418129,392071,810200
1973-12-31,44-Jährige,409543,386251,795794
1973-12-31,45-Jährige,415958,394286,810244
1973-12-31,46-Jährige,377239,385809,763048
1973-12-31,47-Jährige,355580,403307,758887
1973-12-31,48-Jährige,344025,421978,766003
1973-12-31,49-Jährige,305094,414821,719915
1973-12-31,50-Jährige,301761,415207,716968
1973-12-31,51-Jährige,319720,436250,755970
1973-12-31,52-Jährige,330423,460066,790489
1973-12-31,53-Jährige,323330,463092,786422
1973-12-31,54-Jährige,250361,354732,605093
1973-12-31,55-Jährige,168552,238541,407093
1973-12-31,56-Jährige,163591,229703,393294
1973-12-31,57-Jährige,178906,253938,432844
1973-12-31,58-Jährige,231653,334116,565769
1973-12-31,59-Jährige,291546,425872,717418
1973-12-31,60-Jährige,300695,430358,731053
1973-12-31,61-Jährige,307332,436569,743901
1973-12-31,62-Jährige,290176,415349,705525
1973-12-31,63-Jährige,289973,425341,715314
1973-12-31,64-Jährige,294353,426788,721141
1973-12-31,65-Jährige,285493,418865,704358
1973-12-31,66-Jährige,280974,402450,683424
1973-12-31,67-Jährige,268033,391157,659190
1973-12-31,68-Jährige,266268,369095,635363
1973-12-31,69-Jährige,255503,359861,615364
1973-12-31,70-Jährige,233953,337188,571141
1973-12-31,71-Jährige,223053,332002,555055
1973-12-31,72-Jährige,204771,312767,517538
1973-12-31,73-Jährige,183262,288404,471666
1973-12-31,74-Jährige,159702,269221,428923
1973-12-31,75-Jährige,139911,254140,394051
1973-12-31,76-Jährige,119783,229519,349302
1973-12-31,77-Jährige,105416,214968,320384
1973-12-31,78-Jährige,89914,190192,280106
1973-12-31,79-Jährige,78023,171328,249351
1973-12-31,80-Jährige,69534,151996,221530
1973-12-31,81-Jährige,59534,130420,189954
1973-12-31,82-Jährige,52511,114175,166686
1973-12-31,83-Jährige,43897,94627,138524
1973-12-31,84-Jährige,36893,80575,117468
1973-12-31,85 Jahre und mehr,134572,281909,416481
1973-12-31,Insgesamt,29713753,32387616,62101369
1974-12-31,unter 1 Jahr,314398,300139,614537
1974-12-31,1-Jährige,317026,303607,620633
1974-12-31,2-Jährige,351631,335443,687074
1974-12-31,3-Jährige,394634,374869,769503
1974-12-31,4-Jährige,410663,390356,801019
1974-12-31,5-Jährige,462366,438396,900762
1974-12-31,6-Jährige,495083,469599,964682
1974-12-31,7-Jährige,511993,487658,999651
1974-12-31,8-Jährige,527220,502030,1029250
1974-12-31,9-Jährige,529745,502626,1032371
1974-12-31,10-Jährige,540250,513031,1053281
1974-12-31,11-Jährige,533106,507601,1040707
1974-12-31,12-Jährige,514400,489166,1003566
1974-12-31,13-Jährige,511387,486810,998197
1974-12-31,14-Jährige,496283,472277,968560
1974-12-31,15-Jährige,486273,458972,945245
1974-12-31,16-Jährige,466446,439774,906220
1974-12-31,17-Jährige,459436,433196,892632
1974-12-31,18-Jährige,447803,423030,870833
1974-12-31,19-Jährige,432270,412766,845036
1974-12-31,20-Jährige,429137,424392,853529
1974-12-31,21-Jährige,416853,415177,832030
1974-12-31,22-Jährige,430981,423746,854727
1974-12-31,23-Jährige,428573,417917,846490
1974-12-31,24-Jährige,451394,431090,882484
1974-12-31,25-Jährige,460836,427866,888702
1974-12-31,26-Jährige,442436,409224,851660
1974-12-31,27-Jährige,417666,387157,804823
1974-12-31,28-Jährige,386722,358372,745094
1974-12-31,29-Jährige,336043,309323,645366
1974-12-31,30-Jährige,433324,402101,835425
1974-12-31,31-Jährige,446274,407635,853909
1974-12-31,32-Jährige,442639,398156,840795
1974-12-31,33-Jährige,525549,480261,1005810
1974-12-31,34-Jährige,570777,519537,1090314
1974-12-31,35-Jährige,561727,512786,1074513
1974-12-31,36-Jährige,531438,484839,1016277
1974-12-31,37-Jährige,499598,457237,956835
1974-12-31,38-Jährige,492911,453722,946633
1974-12-31,39-Jährige,480230,443994,924224
1974-12-31,40-Jährige,455793,418591,874384
1974-12-31,41-Jährige,377515,345278,722793
1974-12-31,42-Jährige,377115,351766,728881
1974-12-31,43-Jährige,386629,363413,750042
1974-12-31,44-Jährige,413701,391008,804709
1974-12-31,45-Jährige,405305,385217,790522
1974-12-31,46-Jährige,411960,393116,805076
1974-12-31,47-Jährige,373448,384651,758099
1974-12-31,48-Jährige,351963,401952,753915
1974-12-31,49-Jährige,340521,420401,760922
1974-12-31,50-Jährige,301901,413299,715200
1974-12-31,51-Jährige,298388,413454,711842
1974-12-31,52-Jährige,316261,434246,750507
1974-12-31,53-Jährige,326715,457928,784643
1974-12-31,54-Jährige,319486,460566,780052
1974-12-31,55-Jährige,247188,352698,599886
1974-12-31,56-Jährige,166159,237136,403295
1974-12-31,57-Jährige,161033,228236,389269
1974-12-31,58-Jährige,176103,252152,428255
1974-12-31,59-Jährige,227613,331596,559209
1974-12-31,60-Jährige,286013,422875,708888
1974-12-31,61-Jährige,294608,427071,721679
1974-12-31,62-Jährige,300415,432726,733141
1974-12-31,63-Jährige,282906,411205,694111
1974-12-31,64-Jährige,282122,420339,702461
1974-12-31,65-Jährige,285519,420920,706439
1974-12-31,66-Jährige,276004,412489,688493
1974-12-31,67-Jährige,270715,395657,666372
1974-12-31,68-Jährige,257017,383426,640443
1974-12-31,69-Jährige,254306,360745,615051
1974-12-31,70-Jährige,242723,350741,593464
1974-12-31,71-Jährige,221246,327545,548791
1974-12-31,72-Jährige,209654,321187,530841
1974-12-31,73-Jährige,191315,301221,492536
1974-12-31,74-Jährige,170094,276470,446564
1974-12-31,75-Jährige,147125,256567,403692
1974-12-31,76-Jährige,127897,240653,368550
1974-12-31,77-Jährige,108710,215808,324518
1974-12-31,78-Jährige,94789,200810,295599
1974-12-31,79-Jährige,80364,175933,256297
1974-12-31,80-Jährige,69073,156941,226014
1974-12-31,81-Jährige,60804,137736,198540
1974-12-31,82-Jährige,51355,116653,168008
1974-12-31,83-Jährige,44775,100931,145706
1974-12-31,84-Jährige,37131,82475,119606
1974-12-31,85 Jahre und mehr,135452,295319,430771
1974-12-31,Insgesamt,29604450,32387025,61991475
1975-12-31,unter 1 Jahr,301696,286138,587834
1975-12-31,1-Jährige,308850,296248,605098
1975-12-31,2-Jährige,315083,302669,617752
1975-12-31,3-Jährige,351388,335514,686902
1975-12-31,4-Jährige,394877,375244,770121
1975-12-31,5-Jährige,410787,390728,801515
1975-12-31,6-Jährige,460137,437319,897456
1975-12-31,7-Jährige,492716,468379,961095
1975-12-31,8-Jährige,511255,487472,998727
1975-12-31,9-Jährige,526872,502229,1029101
1975-12-31,10-Jährige,529642,502852,1032494
1975-12-31,11-Jährige,540386,513539,1053925
1975-12-31,12-Jährige,532822,507843,1040665
1975-12-31,13-Jährige,514056,489330,1003386
1975-12-31,14-Jährige,511033,486933,997966
1975-12-31,15-Jährige,495988,472450,968438
1975-12-31,16-Jährige,484838,458786,943624
1975-12-31,17-Jährige,465029,439646,904675
1975-12-31,18-Jährige,458138,433401,891539
1975-12-31,19-Jährige,445851,423586,869437
1975-12-31,20-Jährige,426316,413149,839465
1975-12-31,21-Jährige,425880,423575,849455
1975-12-31,22-Jährige,415645,413913,829558
1975-12-31,23-Jährige,428261,421958,850219
1975-12-31,24-Jährige,424668,415640,840308
1975-12-31,25-Jährige,446411,428282,874693
1975-12-31,26-Jährige,454980,424986,879966
1975-12-31,27-Jährige,435440,405955,841395
1975-12-31,28-Jährige,410383,384057,794440
1975-12-31,29-Jährige,379356,355299,734655
1975-12-31,30-Jährige,328958,306549,635507
1975-12-31,31-Jährige,426316,399598,825914
1975-12-31,32-Jährige,438859,405071,843930
1975-12-31,33-Jährige,435245,395633,830878
1975-12-31,34-Jährige,518151,478218,996369
1975-12-31,35-Jährige,562175,517125,1079300
1975-12-31,36-Jährige,553754,510546,1064300
1975-12-31,37-Jährige,523826,482690,1006516
1975-12-31,38-Jährige,492469,455288,947757
1975-12-31,39-Jährige,486114,451708,937822
1975-12-31,40-Jährige,474200,442171,916371
1975-12-31,41-Jährige,449430,416845,866275
1975-12-31,42-Jährige,371311,343549,714860
1975-12-31,43-Jährige,371606,350023,721629
1975-12-31,44-Jährige,381402,361762,743164
1975-12-31,45-Jährige,408594,389360,797954
1975-12-31,46-Jährige,400541,383591,784132
1975-12-31,47-Jährige,407343,391454,798797
1975-12-31,48-Jährige,369014,383004,752018
1975-12-31,49-Jährige,347843,400198,748041
1975-12-31,50-Jährige,336613,418552,755165
1975-12-31,51-Jährige,298206,411270,709476
1975-12-31,52-Jährige,294831,411302,706133
1975-12-31,53-Jährige,312352,431926,744278
1975-12-31,54-Jährige,322388,455500,777888
1975-12-31,55-Jährige,315201,457752,772953
1975-12-31,56-Jährige,243585,350547,594132
1975-12-31,57-Jährige,163512,235505,399017
1975-12-31,58-Jährige,158219,226550,384769
1975-12-31,59-Jährige,173032,250176,423208
1975-12-31,60-Jährige,223123,328927,552050
1975-12-31,61-Jährige,280072,419558,699630
1975-12-31,62-Jährige,287998,423451,711449
1975-12-31,63-Jährige,292713,428213,720926
1975-12-31,64-Jährige,275045,406335,681380
1975-12-31,65-Jährige,273512,414688,688200
1975-12-31,66-Jährige,275935,414355,690290
1975-12-31,67-Jährige,265531,405050,670581
1975-12-31,68-Jährige,259534,387917,647451
1975-12-31,69-Jährige,245239,374978,620217
1975-12-31,70-Jährige,241276,351398,592674
1975-12-31,71-Jährige,229352,340562,569914
1975-12-31,72-Jährige,207807,316912,524719
1975-12-31,73-Jährige,195409,309254,504663
1975-12-31,74-Jährige,177351,288360,465711
1975-12-31,75-Jährige,156356,263446,419802
1975-12-31,76-Jährige,134278,242760,377038
1975-12-31,77-Jährige,115914,226163,342077
1975-12-31,78-Jährige,97435,201017,298452
1975-12-31,79-Jährige,84193,185421,269614
1975-12-31,80-Jährige,70588,160835,231423
1975-12-31,81-Jährige,60002,141847,201849
1975-12-31,82-Jährige,52376,123123,175499
1975-12-31,83-Jährige,43682,103022,146704
1975-12-31,84-Jährige,37508,87599,125107
1975-12-31,85 Jahre und mehr,135397,307350,442747
1975-12-31,Insgesamt,29381500,32263124,61644624
1976-12-31,unter 1 Jahr,304120,289632,593752
1976-12-31,1-Jährige,297294,283272,580566
1976-12-31,2-Jährige,306570,295120,601690
1976-12-31,3-Jährige,314856,302383,617239
1976-12-31,4-Jährige,351457,335881,687338
1976-12-31,5-Jährige,394773,375282,770055
1976-12-31,6-Jährige,407935,389154,797089
1976-12-31,7-Jährige,457382,435815,893197
1976-12-31,8-Jährige,492203,468257,960460
1976-12-31,9-Jährige,511057,487584,998641
1976-12-31,10-Jährige,527018,502709,1029727
1976-12-31,11-Jährige,529992,503586,1033578
1976-12-31,12-Jährige,540504,514201,1054705
1976-12-31,13-Jährige,533152,508391,1041543
1976-12-31,14-Jährige,514377,489989,1004366
1976-12-31,15-Jährige,511692,487840,999532
1976-12-31,16-Jährige,496636,473317,969953
1976-12-31,17-Jährige,485760,459762,945522
1976-12-31,18-Jährige,466459,441022,907481
1976-12-31,19-Jährige,459115,434813,893928
1976-12-31,20-Jährige,444886,425442,870328
1976-12-31,21-Jährige,426605,413904,840509
1976-12-31,22-Jährige,429874,423795,853669
1976-12-31,23-Jährige,417621,413536,831157
1976-12-31,24-Jährige,428143,420986,849129
1976-12-31,25-Jährige,423642,414251,837893
1976-12-31,26-Jährige,444490,426646,871136
1976-12-31,27-Jährige,451957,422803,874760
1976-12-31,28-Jährige,431471,403813,835284
1976-12-31,29-Jährige,406100,381719,787819
1976-12-31,30-Jährige,374923,352910,727833
1976-12-31,31-Jährige,324417,304626,629043
1976-12-31,32-Jährige,421398,397831,819229
1976-12-31,33-Jährige,434269,403389,837658
1976-12-31,34-Jährige,430050,394097,824147
1976-12-31,35-Jährige,513147,476699,989846
1976-12-31,36-Jährige,556348,515492,1071840
1976-12-31,37-Jährige,548576,509131,1057707
1976-12-31,38-Jährige,518531,481289,999820
1976-12-31,39-Jährige,487549,454013,941562
1976-12-31,40-Jährige,481363,450445,931808
1976-12-31,41-Jährige,470034,441025,911059
1976-12-31,42-Jährige,444872,415517,860389
1976-12-31,43-Jährige,367165,342385,709550
1976-12-31,44-Jährige,367855,348793,716648
1976-12-31,45-Jährige,377744,360570,738314
1976-12-31,46-Jährige,404825,387923,792748
1976-12-31,47-Jährige,396799,382391,779190
1976-12-31,48-Jährige,403482,389984,793466
1976-12-31,49-Jährige,365494,381484,746978
1976-12-31,50-Jährige,344283,398624,742907
1976-12-31,51-Jährige,333207,416707,749914
1976-12-31,52-Jährige,295095,409333,704428
1976-12-31,53-Jährige,291409,409333,700742
1976-12-31,54-Jährige,308659,429593,738252
1976-12-31,55-Jährige,318323,452971,771294
1976-12-31,56-Jährige,311106,455051,766157
1976-12-31,57-Jährige,239867,348313,588180
1976-12-31,58-Jährige,160842,233832,394674
1976-12-31,59-Jährige,155609,224785,380394
1976-12-31,60-Jährige,169823,248302,418125
1976-12-31,61-Jährige,218480,326462,544942
1976-12-31,62-Jährige,273947,416007,689954
1976-12-31,63-Jährige,280949,419279,700228
1976-12-31,64-Jährige,284998,423379,708377
1976-12-31,65-Jährige,267197,401141,668338
1976-12-31,66-Jährige,264868,408593,673461
1976-12-31,67-Jährige,266133,407678,673811
1976-12-31,68-Jährige,254881,397492,652373
1976-12-31,69-Jährige,248014,379518,627532
1976-12-31,70-Jährige,233290,365938,599228
1976-12-31,71-Jährige,228372,341757,570129
1976-12-31,72-Jährige,215777,329974,545751
