Geschlecht,Jahr,Monat,AlterVon,AlterBis,Anzahl
 1            ,              2015         ,              1            ,              0            ,              14           ,              174
 1            ,              2015         ,              2            ,              0            ,              14           ,              159
 1            ,              2015         ,              3            ,              0            ,              14           ,              161
 1            ,              2015         ,              4            ,              0            ,              14           ,              162
 1            ,              2015         ,              5            ,              0            ,              14           ,              149
 1            ,              2015         ,              6            ,              0            ,              14           ,              165
 1            ,              2015         ,              7            ,              0            ,              14           ,              128
 1            ,              2015         ,              8            ,              0            ,              14           ,              158
 1            ,              2015         ,              9            ,              0            ,              14           ,              145
 1            ,              2015         ,              10           ,              0            ,              14           ,              139
 1            ,              2015         ,              11           ,              0            ,              14           ,              146
 1            ,              2015         ,              12           ,              0            ,              14           ,              178
 1            ,              2015         ,              1            ,              15           ,              29           ,              254
 1            ,              2015         ,              2            ,              15           ,              29           ,              227
 1            ,              2015         ,              3            ,              15           ,              29           ,              292
 1            ,              2015         ,              4            ,              15           ,              29           ,              274
 1            ,              2015         ,              5            ,              15           ,              29           ,              278
 1            ,              2015         ,              6            ,              15           ,              29           ,              276
 1            ,              2015         ,              7            ,              15           ,              29           ,              310
 1            ,              2015         ,              8            ,              15           ,              29           ,              298
 1            ,              2015         ,              9            ,              15           ,              29           ,              241
 1            ,              2015         ,              10           ,              15           ,              29           ,              272
 1            ,              2015         ,              11           ,              15           ,              29           ,              260
 1            ,              2015         ,              12           ,              15           ,              29           ,              239
 1            ,              2015         ,              1            ,              30           ,              34           ,              150
 1            ,              2015         ,              2            ,              30           ,              34           ,              150
 1            ,              2015         ,              3            ,              30           ,              34           ,              158
 1            ,              2015         ,              4            ,              30           ,              34           ,              166
 1            ,              2015         ,              5            ,              30           ,              34           ,              171
 1            ,              2015         ,              6            ,              30           ,              34           ,              158
 1            ,              2015         ,              7            ,              30           ,              34           ,              168
 1            ,              2015         ,              8            ,              30           ,              34           ,              160
 1            ,              2015         ,              9            ,              30           ,              34           ,              144
 1            ,              2015         ,              10           ,              30           ,              34           ,              157
 1            ,              2015         ,              11           ,              30           ,              34           ,              161
 1            ,              2015         ,              12           ,              30           ,              34           ,              148
 1            ,              2015         ,              1            ,              35           ,              39           ,              199
 1            ,              2015         ,              2            ,              35           ,              39           ,              184
 1            ,              2015         ,              3            ,              35           ,              39           ,              194
 1            ,              2015         ,              4            ,              35           ,              39           ,              189
 1            ,              2015         ,              5            ,              35           ,              39           ,              203
 1            ,              2015         ,              6            ,              35           ,              39           ,              182
 1            ,              2015         ,              7            ,              35           ,              39           ,              200
 1            ,              2015         ,              8            ,              35           ,              39           ,              201
 1            ,              2015         ,              9            ,              35           ,              39           ,              188
 1            ,              2015         ,              10           ,              35           ,              39           ,              215
 1            ,              2015         ,              11           ,              35           ,              39           ,              205
 1            ,              2015         ,              12           ,              35           ,              39           ,              235
 1            ,              2015         ,              1            ,              40           ,              44           ,              352
 1            ,              2015         ,              2            ,              40           ,              44           ,              341
 1            ,              2015         ,              3            ,              40           ,              44           ,              368
 1            ,              2015         ,              4            ,              40           ,              44           ,              348
 1            ,              2015         ,              5            ,              40           ,              44           ,              332
 1            ,              2015         ,              6            ,              40           ,              44           ,              319
 1            ,              2015         ,              7            ,              40           ,              44           ,              346
 1            ,              2015         ,              8            ,              40           ,              44           ,              315
 1            ,              2015         ,              9            ,              40           ,              44           ,              312
 1            ,              2015         ,              10           ,              40           ,              44           ,              318
 1            ,              2015         ,              11           ,              40           ,              44           ,              282
 1            ,              2015         ,              12           ,              40           ,              44           ,              310
 1            ,              2015         ,              1            ,              45           ,              49           ,              825
 1            ,              2015         ,              2            ,              45           ,              49           ,              796
 1            ,              2015         ,              3            ,              45           ,              49           ,              800
 1            ,              2015         ,              4            ,              45           ,              49           ,              701
 1            ,              2015         ,              5            ,              45           ,              49           ,              720
 1            ,              2015         ,              6            ,              45           ,              49           ,              697
 1            ,              2015         ,              7            ,              45           ,              49           ,              723
 1            ,              2015         ,              8            ,              45           ,              49           ,              735
 1            ,              2015         ,              9            ,              45           ,              49           ,              640
 1            ,              2015         ,              10           ,              45           ,              49           ,              699
 1            ,              2015         ,              11           ,              45           ,              49           ,              634
 1            ,              2015         ,              12           ,              45           ,              49           ,              669
 1            ,              2015         ,              1            ,              50           ,              54           ,              1405
